interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,demand
2026-06-02T22:45:00-05:00,2026-06-03 03:45:00+00:00,2026-06-02T23:00:00-05:00,2026-06-03 04:00:00+00:00,59374.6029
2026-06-02T23:00:00-05:00,2026-06-03 04:00:00+00:00,2026-06-02T23:15:00-05:00,2026-06-03 04:15:00+00:00,58539.1615
2026-06-02T23:15:00-05:00,2026-06-03 04:15:00+00:00,2026-06-02T23:30:00-05:00,2026-06-03 04:30:00+00:00,57583.8529
2026-06-02T23:30:00-05:00,2026-06-03 04:30:00+00:00,2026-06-02T23:45:00-05:00,2026-06-03 04:45:00+00:00,56429.2383
2026-06-02T23:45:00-05:00,2026-06-03 04:45:00+00:00,2026-06-03T00:00:00-05:00,2026-06-03 05:00:00+00:00,55553.4948
2026-06-03T00:00:00-05:00,2026-06-03 05:00:00+00:00,2026-06-03T00:15:00-05:00,2026-06-03 05:15:00+00:00,54879.0573
2026-06-03T00:15:00-05:00,2026-06-03 05:15:00+00:00,2026-06-03T00:30:00-05:00,2026-06-03 05:30:00+00:00,54033.4714
2026-06-03T00:30:00-05:00,2026-06-03 05:30:00+00:00,2026-06-03T00:45:00-05:00,2026-06-03 05:45:00+00:00,53030.2799
2026-06-03T00:45:00-05:00,2026-06-03 05:45:00+00:00,2026-06-03T01:00:00-05:00,2026-06-03 06:00:00+00:00,52336.9844
2026-06-03T01:00:00-05:00,2026-06-03 06:00:00+00:00,2026-06-03T01:15:00-05:00,2026-06-03 06:15:00+00:00,51874.2891
2026-06-03T01:15:00-05:00,2026-06-03 06:15:00+00:00,2026-06-03T01:30:00-05:00,2026-06-03 06:30:00+00:00,51419.3659
2026-06-03T01:30:00-05:00,2026-06-03 06:30:00+00:00,2026-06-03T01:45:00-05:00,2026-06-03 06:45:00+00:00,50545.4219
2026-06-03T01:45:00-05:00,2026-06-03 06:45:00+00:00,2026-06-03T02:00:00-05:00,2026-06-03 07:00:00+00:00,49959.0586
2026-06-03T02:00:00-05:00,2026-06-03 07:00:00+00:00,2026-06-03T02:15:00-05:00,2026-06-03 07:15:00+00:00,49461.3138
2026-06-03T02:15:00-05:00,2026-06-03 07:15:00+00:00,2026-06-03T02:30:00-05:00,2026-06-03 07:30:00+00:00,49299.1875
2026-06-03T02:30:00-05:00,2026-06-03 07:30:00+00:00,2026-06-03T02:45:00-05:00,2026-06-03 07:45:00+00:00,48765.0391
2026-06-03T02:45:00-05:00,2026-06-03 07:45:00+00:00,2026-06-03T03:00:00-05:00,2026-06-03 08:00:00+00:00,48396.0924
2026-06-03T03:00:00-05:00,2026-06-03 08:00:00+00:00,2026-06-03T03:15:00-05:00,2026-06-03 08:15:00+00:00,48470.8932
2026-06-03T03:15:00-05:00,2026-06-03 08:15:00+00:00,2026-06-03T03:30:00-05:00,2026-06-03 08:30:00+00:00,48109.6706
2026-06-03T03:30:00-05:00,2026-06-03 08:30:00+00:00,2026-06-03T03:45:00-05:00,2026-06-03 08:45:00+00:00,47755.543
2026-06-03T03:45:00-05:00,2026-06-03 08:45:00+00:00,2026-06-03T04:00:00-05:00,2026-06-03 09:00:00+00:00,47449.1497
2026-06-03T04:00:00-05:00,2026-06-03 09:00:00+00:00,2026-06-03T04:15:00-05:00,2026-06-03 09:15:00+00:00,47759.1042
2026-06-03T04:15:00-05:00,2026-06-03 09:15:00+00:00,2026-06-03T04:30:00-05:00,2026-06-03 09:30:00+00:00,47706.6797
2026-06-03T04:30:00-05:00,2026-06-03 09:30:00+00:00,2026-06-03T04:45:00-05:00,2026-06-03 09:45:00+00:00,47895.9805
2026-06-03T04:45:00-05:00,2026-06-03 09:45:00+00:00,2026-06-03T05:00:00-05:00,2026-06-03 10:00:00+00:00,47998.7539
2026-06-03T05:00:00-05:00,2026-06-03 10:00:00+00:00,2026-06-03T05:15:00-05:00,2026-06-03 10:15:00+00:00,48572.3177
2026-06-03T05:15:00-05:00,2026-06-03 10:15:00+00:00,2026-06-03T05:30:00-05:00,2026-06-03 10:30:00+00:00,48841.7917
2026-06-03T05:30:00-05:00,2026-06-03 10:30:00+00:00,2026-06-03T05:45:00-05:00,2026-06-03 10:45:00+00:00,49186.0182
2026-06-03T05:45:00-05:00,2026-06-03 10:45:00+00:00,2026-06-03T06:00:00-05:00,2026-06-03 11:00:00+00:00,49398.7044
2026-06-03T06:00:00-05:00,2026-06-03 11:00:00+00:00,2026-06-03T06:15:00-05:00,2026-06-03 11:15:00+00:00,50162.8919
2026-06-03T06:15:00-05:00,2026-06-03 11:15:00+00:00,2026-06-03T06:30:00-05:00,2026-06-03 11:30:00+00:00,50456.9544
2026-06-03T06:30:00-05:00,2026-06-03 11:30:00+00:00,2026-06-03T06:45:00-05:00,2026-06-03 11:45:00+00:00,50777.7188
2026-06-03T06:45:00-05:00,2026-06-03 11:45:00+00:00,2026-06-03T07:00:00-05:00,2026-06-03 12:00:00+00:00,50890.6758
2026-06-03T07:00:00-05:00,2026-06-03 12:00:00+00:00,2026-06-03T07:15:00-05:00,2026-06-03 12:15:00+00:00,51286.819
2026-06-03T07:15:00-05:00,2026-06-03 12:15:00+00:00,2026-06-03T07:30:00-05:00,2026-06-03 12:30:00+00:00,51623.6979
